City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
1,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
13,Cabo San Lucas,MX,86.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
17,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
23,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
26,Kapaa,US,79.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Hobyo,SO,80.31,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
28,Arraial Do Cabo,BR,78.66,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
29,Ciudad Bolivar,VE,89.35,broken clouds,8.1222,-63.5497,Hotel Edi
30,Rikitea,PF,79.11,clear sky,-23.1203,-134.9692,People ThankYou
34,Banda Aceh,ID,79.75,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
43,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,Unguia,CO,83.05,overcast clouds,8.0434,-77.0945,Residencias El Golfo
48,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
56,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
59,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
62,Hithadhoo,MV,81.75,clear sky,-0.6,73.0833,Scoop Guest House
63,Vao,NC,76.59,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
66,Bandarbeyla,SO,77.76,clear sky,9.4942,50.8122,JABIR HOTEL
70,Faanui,PF,82.06,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
