City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Cockburn Town,21.4612,-71.1419,78.76,65,40,11.5,TC,scattered clouds
1,Avarua,-21.2078,-159.775,82.45,78,40,10.36,CK,scattered clouds
2,Tahe,52.3333,124.7333,15.19,93,97,3.65,CN,overcast clouds
3,Mataura,-46.1927,168.8643,61.32,69,4,2.46,NZ,clear sky
4,Hobart,-42.8794,147.3294,64.26,74,0,8.05,AU,heavy intensity rain
5,Coihaique,-45.5752,-72.0662,48.81,93,100,6.91,CL,light rain
6,Lompoc,34.6391,-120.4579,66.85,65,100,31.0,US,overcast clouds
7,Bluff,-46.6,168.3333,56.16,82,11,3.98,NZ,few clouds
8,New Norfolk,-42.7826,147.0587,63.91,61,92,2.19,AU,overcast clouds
9,Kodiak,57.79,-152.4072,33.31,100,100,31.07,US,heavy snow
10,Punta Arenas,-53.15,-70.9167,48.31,66,0,21.85,CL,clear sky
11,Esperance,-33.8667,121.9,62.35,72,100,12.1,AU,overcast clouds
12,Vestmannaeyjar,63.4427,-20.2734,44.2,87,100,26.08,IS,overcast clouds
13,Cabo San Lucas,22.8909,-109.9124,86.61,14,75,9.22,MX,broken clouds
14,Provideniya,64.3833,-173.3,19.51,68,0,0.0,RU,clear sky
15,Srednekolymsk,67.45,153.6833,1.04,90,51,3.44,RU,broken clouds
16,Opuwo,-18.0607,13.84,69.6,46,5,3.87,NA,clear sky
17,Kununurra,-15.7667,128.7333,75.18,100,98,3.44,AU,overcast clouds
18,East London,-33.0153,27.9116,70.86,82,71,19.1,ZA,broken clouds
19,Port Alfred,-33.5906,26.891,66.18,89,99,1.01,ZA,overcast clouds
20,Jamestown,42.097,-79.2353,22.59,59,100,17.27,US,overcast clouds
21,Hervey Bay,-25.2986,152.8535,73.02,97,63,17.0,AU,broken clouds
22,Yellowknife,62.456,-114.3525,16.41,60,20,5.75,CA,few clouds
23,Puerto Ayora,-0.7393,-90.3518,84.16,76,96,12.24,EC,light rain
24,Nanortalik,60.1432,-45.2371,29.41,81,85,5.59,GL,overcast clouds
25,Hilo,19.7297,-155.09,80.33,59,0,10.36,US,clear sky
26,Kapaa,22.0752,-159.319,79.48,65,20,8.05,US,few clouds
27,Hobyo,5.3505,48.5268,80.31,63,100,12.95,SO,overcast clouds
28,Arraial Do Cabo,-22.9661,-42.0278,78.66,89,40,5.75,BR,moderate rain
29,Ciudad Bolivar,8.1222,-63.5497,89.35,46,75,17.13,VE,broken clouds
30,Rikitea,-23.1203,-134.9692,79.11,68,5,10.36,PF,clear sky
31,Hermanus,-34.4187,19.2345,67.8,68,97,3.56,ZA,overcast clouds
32,Taoudenni,22.6783,-3.9836,88.43,22,27,4.94,ML,scattered clouds
33,Castro,-24.7911,-50.0119,65.82,79,6,0.63,BR,clear sky
34,Banda Aceh,5.5577,95.3222,79.75,82,12,3.24,ID,few clouds
35,Bredasdorp,-34.5322,20.0403,65.03,78,36,3.13,ZA,scattered clouds
36,Ushuaia,-54.8,-68.3,47.86,57,20,4.61,AR,few clouds
37,Cidreira,-30.1811,-50.2056,69.78,78,0,7.25,BR,clear sky
38,Albany,42.6001,-73.9662,32.63,65,100,5.99,US,overcast clouds
39,Narsaq,60.9167,-46.05,39.42,63,95,9.64,GL,overcast clouds
40,Carnarvon,-24.8667,113.6333,66.27,88,1,6.91,AU,clear sky
41,Airai,-8.9266,125.4092,58.87,89,87,1.79,TL,overcast clouds
42,Gazli,40.1333,63.45,48.09,53,4,7.14,UZ,clear sky
43,Mahebourg,-20.4081,57.7,77.29,88,40,2.3,MU,scattered clouds
44,Dolores,-36.3132,-57.6792,65.98,54,0,6.96,AR,clear sky
45,Manono,-7.3,27.4167,71.8,93,100,2.86,CD,overcast clouds
46,Flinders,-34.5833,150.8552,69.19,94,95,7.0,AU,overcast clouds
47,Unguia,8.0434,-77.0945,83.05,77,100,4.88,CO,overcast clouds
48,Nhulunbuy,-12.2333,136.7667,79.41,94,81,3.44,AU,broken clouds
49,Codrington,-38.2667,141.9667,63.88,79,93,7.47,AU,overcast clouds
50,Mount Pleasant,32.7941,-79.8626,71.74,21,0,18.41,US,clear sky
51,Santos Dumont,-21.4567,-43.5525,70.77,91,68,1.86,BR,moderate rain
52,Kosovska Mitrovica,42.8833,20.8667,51.6,71,0,4.21,XK,clear sky
53,Spartanburg,34.9496,-81.9321,66.88,10,0,11.5,US,clear sky
54,Qaanaaq,77.484,-69.3632,9.68,91,100,5.23,GL,overcast clouds
55,Cologno Al Serio,45.5821,9.7088,57.99,50,0,5.75,IT,clear sky
56,Alofi,-19.0595,-169.9187,84.09,79,100,10.36,NU,overcast clouds
57,Udimskiy,61.1417,45.9144,13.26,90,100,13.49,RU,overcast clouds
58,Busselton,-33.65,115.3333,57.94,69,0,14.52,AU,clear sky
59,Saint-Philippe,-21.3585,55.7679,76.59,86,99,9.71,RE,light rain
60,Dakar,14.6937,-17.4441,67.08,94,0,6.91,SN,clear sky
61,Odesskoye,54.2111,72.9651,4.12,100,79,3.56,RU,broken clouds
62,Hithadhoo,-0.6,73.0833,81.75,65,6,5.84,MV,clear sky
63,Vao,-22.6667,167.4833,76.59,69,22,17.25,NC,few clouds
